beneficiary_id,account_id,beneficiary_name,beneficiary_account_number,beneficiary_bank,beneficiary_ifsc,relationship_to_account_holder,date_added,is_first_time_beneficiary,is_verified,beneficiary_risk_flag,total_transfers_to_date,evidence_status
BEN-NHJX8B,ACC-0IQSVUH,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2025-05-03,FALSE,TRUE,NONE,2,AVAILABLE
BEN-4S6AU8,ACC-0IQSVUH,Jackson Morar,ACC-9RGDKUY,State Bank of India,PUNB0797527,FRIEND,2025-05-25,FALSE,TRUE,NONE,2,AVAILABLE
BEN-X0HNXS,ACC-0U2BL3M,INDIAN OIL,EXT-R9OUDOC,Bank of Baroda,BARB0944151,MERCHANT,2024-03-19,FALSE,TRUE,NONE,2,AVAILABLE
BEN-4PO892,ACC-0U2BL3M,JIO RECHARGE,EXT-ZRENUN5,Punjab National Bank,PUNB0514850,MERCHANT,2025-01-04,FALSE,TRUE,NONE,2,AVAILABLE
BEN-IMUX53,ACC-0U2BL3M,TATA POWER BILLING,EXT-B9M80O2,Union Bank of India,UBIN0717889,MERCHANT,2025-02-07,FALSE,TRUE,NONE,2,AVAILABLE
BEN-A3L2UU,ACC-0U2BL3M,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2025-08-23,FALSE,TRUE,NONE,1,AVAILABLE
BEN-HFSBC6,ACC-0U2BL3M,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2025-09-26,FALSE,TRUE,NONE,1,AVAILABLE
BEN-N6N9KE,ACC-12310X5,Kala Choudhry,ACC-4IKMOC0,State Bank of India,UBIN0965600,FAMILY,2024-04-14,FALSE,TRUE,NONE,1,AVAILABLE
BEN-58PKWP,ACC-12310X5,Lila Wason,ACC-XQS3H4D,Kotak Mahindra Bank,UTIB0646860,FRIEND,2024-08-23,FALSE,TRUE,NONE,2,AVAILABLE
BEN-S1CT1L,ACC-12310X5,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-11-08,FALSE,TRUE,NONE,2,AVAILABLE
BEN-6WVO8V,ACC-12310X5,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2025-01-29,FALSE,TRUE,NONE,2,AVAILABLE
BEN-A6NX8T,ACC-12310X5,MEDPLUS,EXT-JXK87AU,Axis Bank,UTIB0612340,MERCHANT,2025-06-29,FALSE,TRUE,NONE,1,AVAILABLE
BEN-TGO9ZU,ACC-12310X5,Kabir Sethi (Landlord),EXT-63MNSXC,Axis Bank,HDFC0936298,UNKNOWN,2025-07-16,FALSE,TRUE,NONE,4,AVAILABLE
BEN-NZ4KJA,ACC-12310X5,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2025-09-11,FALSE,TRUE,NONE,1,AVAILABLE
BEN-ALP3JG,ACC-12310X5,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2025-10-23,FALSE,TRUE,NONE,1,AVAILABLE
BEN-Z81DMC,ACC-1FSOC4W,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2024-03-21,FALSE,TRUE,NONE,2,AVAILABLE
BEN-U4VFI0,ACC-1FSOC4W,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2024-04-21,FALSE,TRUE,NONE,3,AVAILABLE
BEN-KEK95U,ACC-1FSOC4W,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2024-05-17,FALSE,TRUE,NONE,2,AVAILABLE
BEN-BMFP5G,ACC-1FSOC4W,MEDPLUS,EXT-JXK87AU,Axis Bank,UTIB0612340,MERCHANT,2024-11-10,FALSE,TRUE,NONE,1,AVAILABLE
BEN-X48R9C,ACC-1FSOC4W,INDIAN OIL,EXT-R9OUDOC,Bank of Baroda,BARB0944151,MERCHANT,2025-05-18,FALSE,TRUE,NONE,1,AVAILABLE
BEN-QOQ123,ACC-1FSOC4W,Tanish Shukla,ACC-TKMP1LP,HDFC Bank,PUNB0141891,FAMILY,2025-10-28,FALSE,TRUE,NONE,2,AVAILABLE
BEN-L7CA4J,ACC-1I3LDQY,INDIAN OIL,EXT-R9OUDOC,Bank of Baroda,BARB0944151,MERCHANT,2024-07-01,FALSE,TRUE,NONE,1,AVAILABLE
BEN-K1KT3P,ACC-1I3LDQY,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2025-05-15,FALSE,TRUE,NONE,1,AVAILABLE
BEN-E1QJ3A,ACC-1KDGW4L,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2024-05-04,FALSE,TRUE,NONE,1,AVAILABLE
BEN-EMOLT8,ACC-1KDGW4L,Raagini Dua,ACC-Y1WIZ9P,Kotak Mahindra Bank,IDFB0774714,FAMILY,2024-05-11,FALSE,TRUE,NONE,4,AVAILABLE
BEN-85CRI4,ACC-1KDGW4L,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-09-13,FALSE,TRUE,NONE,2,AVAILABLE
BEN-MN1TX5,ACC-1KDGW4L,Dakshesh Murty,ACC-ZO2X4GT,Canara Bank,ICIC0989036,FAMILY,2024-11-01,FALSE,TRUE,NONE,2,AVAILABLE
BEN-6CWZMD,ACC-1KDGW4L,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2024-11-23,FALSE,TRUE,NONE,2,AVAILABLE
BEN-U7CNR7,ACC-1KDGW4L,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2024-12-16,FALSE,TRUE,NONE,1,AVAILABLE
BEN-M3MTD2,ACC-1KDGW4L,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2025-06-06,FALSE,TRUE,NONE,1,AVAILABLE
BEN-YOHM3O,ACC-1KDGW4L,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2025-08-28,FALSE,TRUE,NONE,1,AVAILABLE
BEN-VQL3Y7,ACC-1RZBK6K,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2024-04-03,FALSE,TRUE,NONE,1,AVAILABLE
BEN-R92TPT,ACC-1RZBK6K,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2024-10-15,FALSE,TRUE,NONE,1,AVAILABLE
BEN-KV4HIX,ACC-1RZBK6K,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2024-10-16,FALSE,TRUE,NONE,1,AVAILABLE
BEN-L0CCMZ,ACC-1RZBK6K,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2024-11-20,FALSE,TRUE,NONE,1,AVAILABLE
BEN-6W12JF,ACC-1RZBK6K,JIO RECHARGE,EXT-ZRENUN5,Punjab National Bank,PUNB0514850,MERCHANT,2024-12-03,FALSE,TRUE,NONE,1,AVAILABLE
BEN-WA1ZSZ,ACC-1RZBK6K,Madhav Pathak,ACC-Q02GKFS,Axis Bank,PUNB0210693,FRIEND,2024-12-31,FALSE,TRUE,NONE,1,AVAILABLE
BEN-W3L1Y6,ACC-1RZBK6K,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2025-02-17,FALSE,TRUE,NONE,1,AVAILABLE
BEN-1YSXD4,ACC-1RZBK6K,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2025-03-17,FALSE,TRUE,NONE,1,AVAILABLE
BEN-3NP1IM,ACC-1RZBK6K,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2025-10-22,FALSE,TRUE,NONE,1,AVAILABLE
BEN-RT01NB,ACC-1SGFGFB,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2024-03-27,FALSE,TRUE,NONE,1,AVAILABLE
BEN-U6I9DZ,ACC-1SGFGFB,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2024-04-23,FALSE,TRUE,NONE,1,AVAILABLE
BEN-8UXVK4,ACC-1SGFGFB,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2024-07-26,FALSE,TRUE,NONE,2,AVAILABLE
BEN-G38D6F,ACC-1SGFGFB,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-10-06,FALSE,TRUE,NONE,1,AVAILABLE
BEN-VA3CLR,ACC-1SGFGFB,Ekani Tata,ACC-73J6IUU,Union Bank of India,INDB0828062,FAMILY,2024-10-20,FALSE,TRUE,NONE,2,AVAILABLE
BEN-5WYB0B,ACC-1SGFGFB,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2025-01-25,FALSE,TRUE,NONE,1,AVAILABLE
BEN-M4M4R3,ACC-1SGFGFB,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2025-01-26,FALSE,TRUE,NONE,1,AVAILABLE
BEN-OD8O8B,ACC-1SGFGFB,TATA POWER BILLING,EXT-B9M80O2,Union Bank of India,UBIN0717889,MERCHANT,2025-04-01,FALSE,TRUE,NONE,1,AVAILABLE
BEN-G58GB6,ACC-1SGFGFB,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2025-06-25,FALSE,TRUE,NONE,1,AVAILABLE
BEN-WSF8RC,ACC-1YBPERH,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2024-05-18,FALSE,TRUE,NONE,1,AVAILABLE
BEN-5SRS2V,ACC-1YBPERH,MEDPLUS,EXT-JXK87AU,Axis Bank,UTIB0612340,MERCHANT,2024-07-02,FALSE,TRUE,NONE,1,AVAILABLE
BEN-4VV78W,ACC-1YBPERH,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2024-07-18,FALSE,TRUE,NONE,1,AVAILABLE
BEN-2YG9B0,ACC-1YBPERH,Darsh Bhagat,ACC-R37F7FP,IndusInd Bank,IDFB0570627,FRIEND,2025-01-25,FALSE,TRUE,NONE,3,AVAILABLE
BEN-BYVR47,ACC-1YBPERH,JIO RECHARGE,EXT-ZRENUN5,Punjab National Bank,PUNB0514850,MERCHANT,2025-03-28,FALSE,TRUE,NONE,1,AVAILABLE
BEN-1QH0HP,ACC-1YBPERH,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2025-05-14,FALSE,TRUE,NONE,1,AVAILABLE
BEN-X1X6AZ,ACC-1YBPERH,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2025-06-10,FALSE,TRUE,NONE,1,AVAILABLE
BEN-FFRVA7,ACC-1YBPERH,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2025-06-13,FALSE,TRUE,NONE,1,AVAILABLE
BEN-R01KR5,ACC-1YBPERH,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2025-07-18,FALSE,TRUE,NONE,1,AVAILABLE
BEN-S2RAAF,ACC-1ZF88JR,Waida Saha,ACC-Q2NS5MH,Union Bank of India,ICIC0890960,FRIEND,2024-03-27,FALSE,TRUE,NONE,1,AVAILABLE
BEN-5OQ8W6,ACC-1ZF88JR,MEDPLUS,EXT-JXK87AU,Axis Bank,UTIB0612340,MERCHANT,2024-05-23,FALSE,TRUE,NONE,1,AVAILABLE
BEN-00WNHO,ACC-1ZF88JR,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2024-08-26,FALSE,TRUE,NONE,1,AVAILABLE
BEN-XTSH11,ACC-1ZF88JR,Indali Bumb,ACC-GL64TPK,IndusInd Bank,UBIN0684137,FAMILY,2024-08-30,FALSE,TRUE,NONE,2,AVAILABLE
BEN-FWLA1C,ACC-1ZF88JR,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-09-17,FALSE,TRUE,NONE,1,AVAILABLE
BEN-P7FVTM,ACC-1ZF88JR,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2024-09-22,FALSE,TRUE,NONE,1,AVAILABLE
BEN-L29YIL,ACC-1ZF88JR,INDIAN OIL,EXT-R9OUDOC,Bank of Baroda,BARB0944151,MERCHANT,2024-10-19,FALSE,TRUE,NONE,2,AVAILABLE
BEN-7L928U,ACC-1ZF88JR,IRCTC,EXT-HJK1EYY,HDFC Bank,HDFC0724834,MERCHANT,2025-08-09,FALSE,TRUE,NONE,1,AVAILABLE
BEN-H8RQ5G,ACC-21YEFI7,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-05-19,FALSE,TRUE,NONE,1,AVAILABLE
BEN-1Z4LJA,ACC-21YEFI7,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2024-07-27,FALSE,TRUE,NONE,1,AVAILABLE
BEN-WT8EQ8,ACC-21YEFI7,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2025-02-10,FALSE,TRUE,NONE,1,AVAILABLE
BEN-3Q8OBJ,ACC-21YEFI7,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2025-02-27,FALSE,TRUE,NONE,1,AVAILABLE
BEN-W2IIUA,ACC-21YEFI7,IRCTC,EXT-HJK1EYY,HDFC Bank,HDFC0724834,MERCHANT,2025-04-03,FALSE,TRUE,NONE,1,AVAILABLE
BEN-K6BQED,ACC-21YEFI7,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2025-04-10,FALSE,TRUE,NONE,1,AVAILABLE
BEN-5H56PF,ACC-21YEFI7,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2025-05-24,FALSE,TRUE,NONE,1,AVAILABLE
BEN-3ANRPV,ACC-21YEFI7,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2025-09-25,FALSE,TRUE,NONE,1,AVAILABLE
BEN-BYL5YA,ACC-22N64KF,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2024-03-15,FALSE,TRUE,NONE,1,AVAILABLE
BEN-4YDQ9N,ACC-22N64KF,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2025-01-27,FALSE,TRUE,NONE,1,AVAILABLE
BEN-7ATUC3,ACC-22N64KF,INDIAN OIL,EXT-R9OUDOC,Bank of Baroda,BARB0944151,MERCHANT,2025-01-31,FALSE,TRUE,NONE,3,AVAILABLE
BEN-0ZBIMW,ACC-22N64KF,JIO RECHARGE,EXT-ZRENUN5,Punjab National Bank,PUNB0514850,MERCHANT,2025-05-30,FALSE,TRUE,NONE,2,AVAILABLE
BEN-U3DU3H,ACC-22N64KF,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2025-07-27,FALSE,TRUE,NONE,1,AVAILABLE
BEN-8SLPJQ,ACC-22N64KF,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2025-10-25,FALSE,TRUE,NONE,1,AVAILABLE
BEN-TF0MYW,ACC-2919AHE,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2024-07-31,FALSE,TRUE,NONE,1,AVAILABLE
BEN-VTMB6V,ACC-2919AHE,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2025-03-06,FALSE,TRUE,NONE,1,AVAILABLE
BEN-LGMQ70,ACC-29GD8AF,MEDPLUS,EXT-JXK87AU,Axis Bank,UTIB0612340,MERCHANT,2024-05-03,FALSE,TRUE,NONE,1,AVAILABLE
BEN-93YUXM,ACC-29GD8AF,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-06-15,FALSE,TRUE,NONE,2,AVAILABLE
BEN-1G5519,ACC-29GD8AF,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2025-04-30,FALSE,TRUE,NONE,1,AVAILABLE
BEN-34DZ5P,ACC-29GD8AF,INDIAN OIL,EXT-R9OUDOC,Bank of Baroda,BARB0944151,MERCHANT,2025-07-05,FALSE,TRUE,NONE,1,AVAILABLE
BEN-T1QRMZ,ACC-29GD8AF,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2025-07-15,FALSE,TRUE,NONE,1,AVAILABLE
BEN-XBVP5Z,ACC-29GD8AF,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2025-09-21,FALSE,TRUE,NONE,1,AVAILABLE
BEN-YU9R39,ACC-2DUG8RM,Jalsa Chandra,ACC-AMA18WP,IDFC FIRST Bank,IDFB0722236,FAMILY,2024-05-17,FALSE,TRUE,NONE,2,AVAILABLE
BEN-L4ZLTZ,ACC-2DUG8RM,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2024-06-24,FALSE,TRUE,NONE,1,AVAILABLE
BEN-T8VBLO,ACC-2DUG8RM,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2024-07-31,FALSE,TRUE,NONE,1,AVAILABLE
BEN-S8OTS4,ACC-2DUG8RM,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2025-02-03,FALSE,TRUE,NONE,3,AVAILABLE
BEN-96794O,ACC-2DUG8RM,Ucchal Bava,ACC-JWSOYH5,State Bank of India,UBIN0895431,FRIEND,2025-02-04,FALSE,TRUE,NONE,1,AVAILABLE
BEN-DW7PNM,ACC-2DUG8RM,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2025-08-13,FALSE,TRUE,NONE,2,AVAILABLE
BEN-G9VS89,ACC-2DUG8RM,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2025-09-14,FALSE,TRUE,NONE,1,AVAILABLE
BEN-NH14HO,ACC-2KLTALC,INDIAN OIL,EXT-R9OUDOC,Bank of Baroda,BARB0944151,MERCHANT,2024-03-24,FALSE,TRUE,NONE,2,AVAILABLE
BEN-58SKL7,ACC-2KLTALC,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2024-04-20,FALSE,TRUE,NONE,1,AVAILABLE
BEN-K3QANL,ACC-2KLTALC,JIO RECHARGE,EXT-ZRENUN5,Punjab National Bank,PUNB0514850,MERCHANT,2024-05-08,FALSE,TRUE,NONE,1,AVAILABLE
BEN-TG56ND,ACC-2KLTALC,IRCTC,EXT-HJK1EYY,HDFC Bank,HDFC0724834,MERCHANT,2024-10-15,FALSE,TRUE,NONE,1,AVAILABLE
BEN-SAAC8D,ACC-2KLTALC,MEDPLUS,EXT-JXK87AU,Axis Bank,UTIB0612340,MERCHANT,2024-12-08,FALSE,TRUE,NONE,1,AVAILABLE
BEN-2PA2JS,ACC-2KLTALC,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2025-04-09,FALSE,TRUE,NONE,2,AVAILABLE
BEN-7N3LKH,ACC-2KLTALC,Advaith Singhal (Landlord),EXT-O9G6OOU,ICICI Bank,YESB0907624,UNKNOWN,2025-09-01,FALSE,TRUE,NONE,4,AVAILABLE
BEN-5RL2KR,ACC-2KLTALC,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2025-10-24,FALSE,TRUE,NONE,2,AVAILABLE
BEN-5V794J,ACC-2N82WZM,Balhaar Parmer,ACC-BS5FI6E,IDFC FIRST Bank,SBIN0411728,FRIEND,2024-06-11,FALSE,TRUE,NONE,3,AVAILABLE
BEN-6KM9Z3,ACC-2N82WZM,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2024-09-19,FALSE,TRUE,NONE,1,AVAILABLE
BEN-PI9R2J,ACC-2N82WZM,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2024-10-01,FALSE,TRUE,NONE,1,AVAILABLE
BEN-7ABWV0,ACC-2N82WZM,Tanish Dixit (Landlord),EXT-RC89WXK,State Bank of India,BARB0541953,UNKNOWN,2024-10-26,FALSE,TRUE,NONE,5,AVAILABLE
BEN-E9SUV9,ACC-2N82WZM,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2024-12-25,FALSE,TRUE,NONE,2,AVAILABLE
BEN-HJSV6G,ACC-2N82WZM,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2025-01-20,FALSE,TRUE,NONE,1,AVAILABLE
BEN-8HX0MD,ACC-2N82WZM,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2025-01-26,FALSE,TRUE,NONE,1,AVAILABLE
BEN-YCBB2O,ACC-2N82WZM,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2025-08-29,FALSE,TRUE,NONE,1,AVAILABLE
BEN-UI41SK,ACC-2O8PT4M,JIO RECHARGE,EXT-ZRENUN5,Punjab National Bank,PUNB0514850,MERCHANT,2024-04-16,FALSE,TRUE,NONE,1,AVAILABLE
BEN-S47UOH,ACC-2O8PT4M,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-04-28,FALSE,TRUE,NONE,1,AVAILABLE
BEN-Q439VT,ACC-2O8PT4M,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2024-05-16,FALSE,TRUE,NONE,1,AVAILABLE
BEN-J26W4M,ACC-2O8PT4M,RAPIDO,EXT-7Q9AH8R,Canara Bank,CNRB0905934,MERCHANT,2024-06-26,FALSE,TRUE,NONE,1,AVAILABLE
BEN-J8PSP4,ACC-2O8PT4M,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2024-07-07,FALSE,TRUE,NONE,1,AVAILABLE
BEN-X2TOGM,ACC-2O8PT4M,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2024-11-13,FALSE,TRUE,NONE,1,AVAILABLE
BEN-V3G5JO,ACC-2O8PT4M,Orinder Singhal,ACC-TKMW044,Bank of Baroda,PUNB0169847,FRIEND,2024-12-20,FALSE,TRUE,NONE,2,AVAILABLE
BEN-4RPQF8,ACC-2O8PT4M,BOOKMYSHOW,EXT-1ZXOI65,Yes Bank,YESB0195325,MERCHANT,2025-01-12,FALSE,TRUE,NONE,1,AVAILABLE
BEN-INYUV1,ACC-2O8PT4M,Ishwar Sachar,ACC-52Y4R1F,State Bank of India,IDFB0218429,FRIEND,2025-03-24,FALSE,TRUE,NONE,2,AVAILABLE
BEN-WFF84S,ACC-2O8PT4M,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2025-06-02,FALSE,TRUE,NONE,2,AVAILABLE
BEN-7D7KUQ,ACC-2O8PT4M,Karan Saha,ACC-O3V94X2,Yes Bank,ICIC0216268,FAMILY,2025-09-29,FALSE,TRUE,NONE,1,AVAILABLE
BEN-N80AG7,ACC-2TFKG9L,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2024-08-15,FALSE,TRUE,NONE,1,AVAILABLE
BEN-N68OCK,ACC-2TFKG9L,Jason Madan,ACC-XQ6ARCR,ICICI Bank,UBIN0719101,FAMILY,2024-11-19,FALSE,TRUE,NONE,2,AVAILABLE
BEN-A4ZROE,ACC-2TFKG9L,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2025-01-09,FALSE,TRUE,NONE,3,AVAILABLE
