account_id,customer_id,customer_name,account_type,account_status,account_open_date,kyc_status,risk_rating,registered_country,avg_monthly_txn_count,avg_monthly_txn_amount,home_branch,occupation,annual_income,customer_segment,last_activity_date
ACC-2WT59GL,CUS-FRI8MQE,Varsha Chada,SAVINGS,ACTIVE,2025-10-07,VERIFIED,MEDIUM,INDIA,20,175877.53,IDFB0665892,Paediatric nurse,1737395,SALARIED,2026-08-29
ACC-2Z1UBYH,CUS-8AECEW6,Manbir Shanker,SALARY,ACTIVE,2025-02-22,VERIFIED,LOW,INDIA,19,171398.77,KOTAK0509985,"Research officer, political party",1885636,SALARIED,2026-08-28
ACC-366FZX6,CUS-APK6I2K,Divya Shankar,SAVINGS,ACTIVE,2024-06-23,VERIFIED,LOW,INDIA,20,247809.52,YESB0144887,IT sales professional,958896,SALARIED,2026-08-28
ACC-3A1DU10,CUS-RH735X7,Amaira Jaggi,SAVINGS,ACTIVE,2025-08-03,VERIFIED,MEDIUM,INDIA,16,92880.72,KOTAK0946906,Health service manager,770665,RETAIL,2026-08-27
ACC-3A1MITK,CUS-DZTO1FG,Samaksh Lata,SAVINGS,ACTIVE,2025-03-29,VERIFIED,MEDIUM,INDIA,14,102641.42,SBIN0542828,Child psychotherapist,844676,RETAIL,2026-08-28
ACC-3AEYV7C,CUS-S1R8NFV,Ekanta Tella,SAVINGS,ACTIVE,2025-07-15,VERIFIED,LOW,INDIA,11,62714.10,ICIC0170260,"Doctor, general practice",787957,RETAIL,2026-08-27
ACC-3B2A3CW,CUS-49N0DFR,Elijah Mangat,SAVINGS,ACTIVE,2024-02-06,VERIFIED,LOW,INDIA,17,42425.06,KOTAK0151988,"Engineer, drilling",192389,STUDENT,2026-08-29
ACC-3CP78ZC,CUS-9Y7DMS2,Quincy Kapadia,SALARY,ACTIVE,2020-12-10,VERIFIED,MEDIUM,INDIA,10,71576.69,SBIN0573639,Equality and diversity officer,608721,SENIOR_CITIZEN,2026-08-24
ACC-3DFDRGV,CUS-GS4VDH6,Alka Shan,SAVINGS,ACTIVE,2020-04-29,VERIFIED,LOW,INDIA,14,104488.27,SBIN0854075,Travel agency manager,443028,RETAIL,2026-08-29
ACC-3HQ57UY,CUS-ZHWW3LT,Lohit Dhaliwal,SAVINGS,ACTIVE,2022-08-09,VERIFIED,LOW,INDIA,20,160901.39,ICIC0244564,Best boy,883872,SALARIED,2026-08-29
ACC-3JPJT10,CUS-UEN0RSK,Tara Puri,SAVINGS,ACTIVE,2023-06-20,VERIFIED,LOW,INDIA,15,429256.87,BARB0687019,Corporate treasurer,1258099,MASS_AFFLUENT,2026-08-28
ACC-3RAVC2U,CUS-9YFZQLP,Saksham Dugal,SAVINGS,ACTIVE,2023-10-13,VERIFIED,LOW,INDIA,11,71168.86,SBIN0553360,Ship broker,721943,SENIOR_CITIZEN,2026-08-28
ACC-43VVT0V,CUS-KG3C5OA,Waida Loyal,SAVINGS,ACTIVE,2020-11-19,VERIFIED,MEDIUM,INDIA,17,403608.55,IDFB0107052,Chief Operating Officer,5153376,PREMIUM,2026-08-29
ACC-44CI4J3,CUS-8V30D7T,Andrew Mann,SAVINGS,ACTIVE,2025-11-27,VERIFIED,LOW,INDIA,16,55158.94,UTIB0493468,Dispensing optician,271361,STUDENT,2026-08-29
ACC-4CSKJ3F,CUS-FONJK67,Chakradev Gola,SALARY,ACTIVE,2022-04-25,VERIFIED,HIGH,INDIA,19,58209.24,KOTAK0736356,Production manager,214454,STUDENT,2026-08-26
ACC-4EVB2Y6,CUS-O6AOBHT,Bachittar Nadig,SAVINGS,ACTIVE,2023-05-21,VERIFIED,LOW,INDIA,21,468755.42,IDFB0139748,"Engineer, agricultural",4488184,PREMIUM,2026-08-29
ACC-4IKMOC0,CUS-AR0OMNE,Charles Bail,SALARY,ACTIVE,2020-08-15,VERIFIED,LOW,INDIA,20,156059.32,YESB0428096,Tree surgeon,1396649,SALARIED,2026-08-29
ACC-4JNUCYD,CUS-X14NDNB,Elijah Ghosh,SALARY,ACTIVE,2024-02-21,VERIFIED,MEDIUM,INDIA,10,60677.77,ICIC0650269,Ambulance person,372623,SENIOR_CITIZEN,2026-08-27
ACC-4L5GTCY,CUS-FDVW10H,Vasana Sharma,SAVINGS,ACTIVE,2025-12-27,VERIFIED,LOW,INDIA,20,327044.99,INDB0626806,Insurance underwriter,2345461,PREMIUM,2026-08-28
ACC-4NOUWR6,CUS-1RDEXW2,Qadim Singhal,CURRENT,ACTIVE,2020-03-17,VERIFIED,LOW,INDIA,14,285088.53,ICIC0826897,Business Owner,6008916,BUSINESS,2026-08-21
ACC-4OGW9XH,CUS-RO199BR,David Chand,SAVINGS,ACTIVE,2025-09-11,VERIFIED,LOW,INDIA,6,33984.86,KOTAK0876962,"Therapist, occupational",668074,RETAIL,2026-08-19
ACC-4SBKXCS,CUS-JBGNU66,Timothy Sami,SAVINGS,ACTIVE,2019-08-01,VERIFIED,LOW,INDIA,19,70152.62,HDFC0627953,Sport and exercise psychologist,292244,STUDENT,2026-08-27
ACC-4Z56RJ3,CUS-GHQ55OI,Bhavika Char,SAVINGS,ACTIVE,2025-05-08,VERIFIED,LOW,INDIA,17,111597.53,CNRB0201013,Best boy,487795,RETAIL,2026-08-27
ACC-4ZXTX1L,CUS-8RG22KI,Karan Chakrabarti,SAVINGS,ACTIVE,2026-01-19,VERIFIED,LOW,INDIA,18,44673.13,PUNB0133141,"Programme researcher, broadcasting/film/video",172026,STUDENT,2026-08-29
ACC-52SOMK1,CUS-7MFBGNC,Peter Panchal,SAVINGS,ACTIVE,2021-07-16,VERIFIED,MEDIUM,INDIA,16,176684.90,IDFB0698076,"Producer, television/film/video",888611,SALARIED,2026-08-27
ACC-52Y4R1F,CUS-1XL11FC,Gautami Suri,SALARY,ACTIVE,2024-05-17,VERIFIED,LOW,INDIA,18,59059.03,CNRB0255825,Farm manager,258222,STUDENT,2026-08-29
ACC-56Q8V88,CUS-BC1HY2U,Anika Issac,SALARY,ACTIVE,2025-09-17,VERIFIED,LOW,INDIA,10,61328.99,HDFC0507980,Pharmacologist,883707,SENIOR_CITIZEN,2026-08-25
ACC-5DFNIAJ,CUS-J28SY2M,Oni Kuruvilla,SAVINGS,ACTIVE,2022-10-03,VERIFIED,LOW,INDIA,21,416385.11,IDFB0988811,Transport planner,6888268,PREMIUM,2026-08-29
ACC-5FAALFS,CUS-04INJR7,Wriddhish Golla,CURRENT,ACTIVE,2023-06-08,PENDING,LOW,INDIA,13,472680.40,SBIN0920597,Business Owner,5934245,BUSINESS,2026-08-26
ACC-5FVDDWJ,CUS-8GI5OU9,Oviya Korpal,SALARY,ACTIVE,2025-11-16,VERIFIED,LOW,INDIA,17,56461.66,YESB0669097,Midwife,219029,STUDENT,2026-08-29
ACC-5I78U5T,CUS-Q9DZGKD,Girindra Bala,SALARY,ACTIVE,2025-01-13,VERIFIED,LOW,INDIA,18,374545.95,CNRB0531762,Occupational psychologist,6676577,PREMIUM,2026-08-29
ACC-5JN7BS0,CUS-8I4W02B,Timothy Bawa,SAVINGS,ACTIVE,2025-11-13,VERIFIED,LOW,INDIA,15,316945.31,UTIB0798199,"Optician, dispensing",1918887,MASS_AFFLUENT,2026-08-29
ACC-5LSCATG,CUS-VS3875I,Umang Bajaj,CURRENT,ACTIVE,2023-12-15,VERIFIED,LOW,INDIA,17,487468.24,ICIC0929179,Business Owner,6828038,BUSINESS,2026-08-29
ACC-5R5L6RZ,CUS-OID7148,Barkha Padmanabhan,SAVINGS,ACTIVE,2021-09-13,VERIFIED,LOW,INDIA,18,98956.80,INDB0320989,Building control surveyor,426215,RETAIL,2026-08-29
ACC-5ZTKB9Z,CUS-V14WZZE,Daksha Narayan,SALARY,ACTIVE,2019-12-21,VERIFIED,LOW,INDIA,20,468912.37,BARB0786433,Accommodation manager,2888357,MASS_AFFLUENT,2026-08-29
ACC-66NW7Y6,CUS-ELJWV3I,Lucky Naik,SAVINGS,ACTIVE,2021-09-12,VERIFIED,MEDIUM,INDIA,19,507618.43,ICIC0913063,"Journalist, magazine",2470542,MASS_AFFLUENT,2026-08-29
ACC-69BY4CY,CUS-GVICW8V,Eiravati Srinivas,SAVINGS,ACTIVE,2022-04-13,VERIFIED,LOW,INDIA,13,183915.84,SBIN0579911,"Scientist, forensic",2524846,MASS_AFFLUENT,2026-08-28
ACC-6BQKDJU,CUS-3IWKDRX,Yuvraj Agate,SAVINGS,ACTIVE,2025-07-27,VERIFIED,LOW,INDIA,8,51699.42,KOTAK0727847,Counsellor,855338,SENIOR_CITIZEN,2026-08-25
ACC-6EK26Y9,CUS-NA6367Q,Udyati Kata,SAVINGS,ACTIVE,2023-02-08,VERIFIED,LOW,INDIA,14,478847.53,UBIN0391248,"Lecturer, further education",2318968,MASS_AFFLUENT,2026-08-27
ACC-6EUC1G7,CUS-UM9CAPI,Ekavir Shukla,SAVINGS,ACTIVE,2023-02-21,VERIFIED,LOW,INDIA,10,78011.01,CNRB0193020,Operational researcher,808042,SENIOR_CITIZEN,2026-08-27
ACC-6GN8W9U,CUS-V82DIB4,Libni Bala,SAVINGS,ACTIVE,2025-07-06,VERIFIED,LOW,INDIA,13,88756.34,ICIC0746253,Psychotherapist,487677,RETAIL,2026-08-25
ACC-6HHR8X8,CUS-C28N1GP,Jairaj Nayar,SAVINGS,ACTIVE,2023-03-03,VERIFIED,LOW,INDIA,16,281676.89,PUNB0763508,Mental health nurse,1640146,MASS_AFFLUENT,2026-08-29
ACC-6I5A7D9,CUS-146LLIG,Idika Mandal,SAVINGS,ACTIVE,2022-07-04,VERIFIED,LOW,INDIA,11,58434.12,UBIN0408463,Lobbyist,739001,SENIOR_CITIZEN,2026-08-28
ACC-6K088ZF,CUS-N749AHW,Pratyush Mittal,CURRENT,ACTIVE,2023-05-20,VERIFIED,LOW,INDIA,17,294654.39,HDFC0641975,Business Owner,5331839,BUSINESS,2026-08-25
ACC-6O9YZPF,CUS-322F52U,Unni Sharaf,SALARY,ACTIVE,2024-12-18,VERIFIED,LOW,INDIA,21,180172.61,BARB0419394,"Pharmacist, community",1651543,SALARIED,2026-08-26
ACC-6OC7T3B,CUS-D4Z1G52,Bhavya Amble,SAVINGS,ACTIVE,2025-10-13,VERIFIED,LOW,INDIA,9,58863.19,PUNB0499407,Social researcher,368872,RETAIL,2026-08-24
ACC-6SR17OT,CUS-FT0UFFE,Niharika Sengupta,SAVINGS,ACTIVE,2019-08-31,PENDING,LOW,INDIA,16,227473.71,HDFC0866296,Trade mark attorney,2089713,PREMIUM,2026-08-29
ACC-6Y3A5Z1,CUS-DT1QH26,Waida Chakraborty,SALARY,ACTIVE,2020-02-12,VERIFIED,LOW,INDIA,12,33942.36,PUNB0453491,Careers adviser,149274,STUDENT,2026-08-29
ACC-6YHRDU3,CUS-90E4B0O,Jason Patil,SALARY,ACTIVE,2019-07-18,VERIFIED,LOW,INDIA,11,75983.67,INDB0987386,Insurance claims handler,1100040,RETAIL,2026-08-28
ACC-70SBOVV,CUS-PN8DPOY,Imaran Vig,SAVINGS,ACTIVE,2026-01-18,VERIFIED,LOW,INDIA,15,67607.09,ICIC0721418,Community pharmacist,248881,STUDENT,2026-08-29
ACC-70X3FG6,CUS-IZED1IP,Nicholas Bakshi,SALARY,ACTIVE,2021-09-16,VERIFIED,LOW,INDIA,16,287175.11,YESB0713110,"Restaurant manager, fast food",1689918,MASS_AFFLUENT,2026-08-29
ACC-73J6IUU,CUS-KZTV668,Manya Singh,CURRENT,ACTIVE,2022-10-03,VERIFIED,MEDIUM,INDIA,15,378281.90,CNRB0821466,Business Owner,5696448,BUSINESS,2026-08-24
ACC-772URMS,CUS-PVPXO3U,Krisha Chokshi,SAVINGS,ACTIVE,2021-02-15,VERIFIED,LOW,INDIA,16,242388.85,YESB0734617,"Producer, radio",1238165,SALARIED,2026-08-27
ACC-79O2XZ3,CUS-6JWB4GS,Harini Saran,SAVINGS,ACTIVE,2024-07-11,VERIFIED,LOW,INDIA,8,54045.85,PUNB0830609,Clinical embryologist,659731,SENIOR_CITIZEN,2026-08-28
ACC-7F16XBX,CUS-TLNV5MO,Bimala Narang,SAVINGS,ACTIVE,2023-12-04,VERIFIED,LOW,INDIA,10,58667.94,SBIN0794083,Phytotherapist,712107,SALARIED,2026-08-22
ACC-7SFQM9R,CUS-IT8F6KJ,Tristan Natarajan,SAVINGS,ACTIVE,2022-05-01,VERIFIED,LOW,INDIA,20,180585.76,IDFB0536822,Barrister,595340,SALARIED,2026-08-26
ACC-7YJPCHM,CUS-B2U0J0N,Yug Sur,SAVINGS,ACTIVE,2020-10-29,VERIFIED,LOW,INDIA,10,61507.14,YESB0281594,"Engineer, technical sales",444789,SENIOR_CITIZEN,2026-08-21
ACC-7YVR4NK,CUS-4AUEDI6,Zansi Bhasin,CURRENT,ACTIVE,2020-10-28,VERIFIED,LOW,INDIA,19,308846.58,PUNB0597526,Business Owner,4098792,BUSINESS,2026-08-29
ACC-8192CA3,CUS-SKAD4RQ,Nathaniel Bir,SALARY,ACTIVE,2019-07-22,VERIFIED,LOW,INDIA,9,74198.20,UBIN0970840,Adult guidance worker,347694,SENIOR_CITIZEN,2026-08-29
ACC-8L3178T,CUS-W48OF2T,Chandresh Pandey,SALARY,ACTIVE,2024-05-15,VERIFIED,LOW,INDIA,18,68973.53,KOTAK0615827,"Producer, radio",122767,STUDENT,2026-08-29
ACC-8MFT3J4,CUS-1BHKJ25,Chandran Babu,CURRENT,ACTIVE,2021-01-27,VERIFIED,LOW,INDIA,12,205958.09,IDFB0988803,Business Owner,1227166,BUSINESS,2026-08-27
ACC-8R8KUSS,CUS-R6GI0DR,Chakradhar Pau,SAVINGS,ACTIVE,2023-04-26,VERIFIED,LOW,INDIA,17,219366.76,SBIN0534346,Hospital pharmacist,1918166,SALARIED,2026-08-28
ACC-90ZASH1,CUS-SR7UXKJ,Girik Comar,SAVINGS,ACTIVE,2021-12-14,VERIFIED,HIGH,INDIA,19,298205.50,UBIN0241913,Politician's assistant,1641696,MASS_AFFLUENT,2026-08-27
ACC-9535HJH,CUS-WFNSLK6,Kalpit Kalla,SAVINGS,ACTIVE,2023-09-26,VERIFIED,LOW,INDIA,15,231461.01,IDFB0809790,Broadcast journalist,1578680,MASS_AFFLUENT,2026-08-28
ACC-95IUZ6Y,CUS-6APDV1A,Nathaniel Subramanian,SALARY,ACTIVE,2022-12-14,VERIFIED,LOW,INDIA,10,71900.59,CNRB0376331,Multimedia programmer,749788,SENIOR_CITIZEN,2026-08-29
ACC-9EC6G61,CUS-0G3QWQF,Ekaja Sule,SAVINGS,ACTIVE,2024-02-07,VERIFIED,LOW,INDIA,15,94180.45,SBIN0802818,Risk analyst,387336,RETAIL,2026-08-29
ACC-9ET83Z0,CUS-PP9K4YE,Lekha Dass,SAVINGS,ACTIVE,2021-04-13,VERIFIED,LOW,INDIA,13,55048.68,BARB0846490,Veterinary surgeon,268691,STUDENT,2026-08-28
ACC-9F5G3UK,CUS-EL3Q4Q2,Oscar Batta,SAVINGS,ACTIVE,2020-08-22,VERIFIED,LOW,INDIA,18,147792.84,HDFC0637373,Veterinary surgeon,1357804,SALARIED,2026-08-28
ACC-9FM8D7M,CUS-46BH8LB,Nicholas Choudhury,SAVINGS,ACTIVE,2019-08-14,VERIFIED,MEDIUM,INDIA,18,408667.30,CNRB0456470,"Engineer, electrical",2042631,MASS_AFFLUENT,2026-08-28
ACC-9FN202S,CUS-K10IFJN,Siddharth Ramesh,SALARY,ACTIVE,2022-05-10,VERIFIED,LOW,INDIA,18,388551.30,ICIC0584567,Veterinary surgeon,2058701,MASS_AFFLUENT,2026-08-28
ACC-9JHCAZ8,CUS-9FTNWN0,Chatura Anand,SAVINGS,ACTIVE,2023-08-22,VERIFIED,LOW,INDIA,23,257648.65,IDFB0675512,Retail banker,880335,SALARIED,2026-08-27
ACC-9K6DZQ5,CUS-1WW0WDP,Aadi Babu,SAVINGS,ACTIVE,2025-03-01,VERIFIED,LOW,INDIA,14,434740.76,YESB0542995,Social researcher,2165356,PREMIUM,2026-08-27
ACC-9LQY3T3,CUS-SY94EVI,Jason Rau,CURRENT,ACTIVE,2024-05-19,VERIFIED,LOW,INDIA,15,305362.20,UTIB0878246,Business Owner,8565259,BUSINESS,2026-08-28
ACC-9PH3I37,CUS-9U26192,Tara Bawa,SAVINGS,ACTIVE,2025-07-09,VERIFIED,LOW,INDIA,8,49975.60,CNRB0181247,"Runner, broadcasting/film/video",1180660,RETAIL,2026-08-27
ACC-9RGDKUY,CUS-LW89Z4I,William Chaudry,SAVINGS,ACTIVE,2024-05-16,VERIFIED,LOW,INDIA,16,269364.44,INDB0488131,"Lecturer, higher education",2742292,MASS_AFFLUENT,2026-08-26
ACC-9WHSBP1,CUS-ZUYZY18,Atharv Ramanathan,SAVINGS,ACTIVE,2020-10-15,VERIFIED,MEDIUM,INDIA,14,399453.26,SBIN0231647,"Psychologist, educational",5500025,PREMIUM,2026-08-28
ACC-9XA4KWG,CUS-49ZN4Y3,Kabir Master,SAVINGS,ACTIVE,2024-09-03,VERIFIED,LOW,INDIA,19,455450.86,PUNB0660060,"Research officer, trade union",7660209,PREMIUM,2026-08-25
ACC-9XM091Z,CUS-1P7RS8R,Ishwar Krishnan,SAVINGS,ACTIVE,2024-01-26,VERIFIED,LOW,INDIA,10,56634.79,SBIN0436219,"Therapist, art",415717,SENIOR_CITIZEN,2026-08-25
ACC-A170XC7,CUS-1O4YWG1,Nimrat Memon,SALARY,ACTIVE,2023-07-05,VERIFIED,LOW,INDIA,15,189410.59,ICIC0647923,Control and instrumentation engineer,1040656,SALARIED,2026-08-27
ACC-A78MX1E,CUS-VUHT6T0,Lavanya Brar,SALARY,ACTIVE,2025-07-29,VERIFIED,LOW,INDIA,7,50994.76,YESB0282480,Banker,433470,RETAIL,2026-08-24
ACC-A7NMSK8,CUS-AGN64XL,Jagrati Sankaran,CURRENT,ACTIVE,2024-02-02,VERIFIED,LOW,INDIA,9,280214.50,PUNB0588533,Business Owner,1746616,BUSINESS,2026-08-21
ACC-ACB7G6Z,CUS-5CKSTBO,Netra Prakash,SAVINGS,ACTIVE,2024-09-23,VERIFIED,LOW,INDIA,17,384461.33,BARB0868227,Pathologist,2641955,PREMIUM,2026-08-28
ACC-AG8VFMI,CUS-42KTV4J,Jyoti Sharaf,SAVINGS,ACTIVE,2023-02-12,VERIFIED,MEDIUM,INDIA,17,335529.63,INDB0535457,Illustrator,6568789,PREMIUM,2026-08-29
ACC-AH3XM2A,CUS-OO5XCR5,Panini Ranganathan,SAVINGS,ACTIVE,2021-09-03,VERIFIED,LOW,INDIA,19,459238.26,ICIC0815531,Occupational therapist,6628709,PREMIUM,2026-08-28
ACC-AK04VVG,CUS-LWTK38L,Max Walla,SALARY,ACTIVE,2020-12-30,VERIFIED,LOW,INDIA,15,114001.60,IDFB0605998,Office manager,1066461,RETAIL,2026-08-25
ACC-AMA18WP,CUS-7C2K7OL,Anirudh Saran,SALARY,ACTIVE,2020-05-09,VERIFIED,MEDIUM,INDIA,14,144947.72,PUNB0361897,Video editor,1295019,SALARIED,2026-08-27
ACC-AO08CAP,CUS-DEDI2LS,Riya Dasgupta,SALARY,ACTIVE,2023-05-18,VERIFIED,MEDIUM,INDIA,16,106514.29,KOTAK0315860,English as a second language teacher,801954,RETAIL,2026-08-27
ACC-ARN9585,CUS-UPU3469,Diya Munshi,SAVINGS,ACTIVE,2025-03-31,VERIFIED,MEDIUM,INDIA,16,126931.38,BARB0219185,"Engineer, energy",1590391,SALARIED,2026-08-28
ACC-AWXUF9Q,CUS-I0SUDAW,Warhi Ganguly,SAVINGS,ACTIVE,2024-02-19,PENDING,LOW,INDIA,22,721708.76,KOTAK0756649,Diagnostic radiographer,7772330,PREMIUM,2026-08-28
ACC-B2JA7EF,CUS-VUZK1DZ,Hiral Purohit,SAVINGS,ACTIVE,2019-09-03,VERIFIED,LOW,INDIA,14,94814.62,HDFC0878774,Communications engineer,610089,RETAIL,2026-08-27
ACC-B56HEP2,CUS-U0MUOHU,Bakhshi Bhakta,SAVINGS,ACTIVE,2021-06-28,VERIFIED,LOW,INDIA,17,452565.47,UTIB0739037,Public affairs consultant,6063506,PREMIUM,2026-08-29
ACC-B5SQ0ZY,CUS-CMVO84W,Ayush Narayanan,SAVINGS,ACTIVE,2024-02-01,VERIFIED,MEDIUM,INDIA,16,245903.08,KOTAK0451936,Quantity surveyor,2720826,MASS_AFFLUENT,2026-08-29
ACC-B5UL5NW,CUS-QVRR9A7,Nathaniel Sastry,SAVINGS,ACTIVE,2026-04-05,VERIFIED,LOW,INDIA,10,64275.48,UTIB0118080,"Engineer, electronics",882144,RETAIL,2026-08-23
ACC-BDH02YH,CUS-9Q4JNAT,Warhi Dubey,SAVINGS,ACTIVE,2020-04-12,VERIFIED,LOW,INDIA,10,80919.77,KOTAK0621917,Health visitor,443826,SENIOR_CITIZEN,2026-08-28
ACC-BQR9LC5,CUS-BDFUTE0,Chandran Kalita,SAVINGS,ACTIVE,2021-08-31,VERIFIED,LOW,INDIA,17,67105.14,YESB0708614,"Sound technician, broadcasting/film/video",156847,STUDENT,2026-08-29
ACC-BRCL472,CUS-RL15F4W,Charan Deo,SALARY,ACTIVE,2026-07-16,VERIFIED,LOW,INDIA,8,47204.05,PUNB0519904,Building services engineer,1199398,RETAIL,2026-08-26
ACC-BS5FI6E,CUS-HLJ2XLQ,Sachi Joshi,SALARY,ACTIVE,2020-03-14,VERIFIED,HIGH,INDIA,17,250243.35,HDFC0907789,Contractor,3293106,PREMIUM,2026-08-29
ACC-BVN8NN8,CUS-7Q94JBY,Daksha Dhar,SALARY,ACTIVE,2025-06-10,VERIFIED,LOW,INDIA,11,82088.68,KOTAK0993473,Network engineer,355663,RETAIL,2026-08-23
ACC-BX9X39I,CUS-FETZ470,Indrajit Grewal,SAVINGS,ACTIVE,2024-09-16,VERIFIED,MEDIUM,INDIA,8,67640.91,PUNB0678083,Radio producer,377767,SENIOR_CITIZEN,2026-08-25
ACC-C04T2VY,CUS-4II6322,Odika Chhabra,SAVINGS,ACTIVE,2025-02-11,VERIFIED,LOW,INDIA,19,219709.03,IDFB0564620,"Engineer, broadcasting (operations)",988263,SALARIED,2026-08-29
ACC-C3DXMRX,CUS-36ZHBPX,Azad Nagi,CURRENT,ACTIVE,2021-02-10,VERIFIED,LOW,INDIA,12,274201.56,SBIN0128783,Business Owner,7082741,BUSINESS,2026-08-29
ACC-C3Y7HAT,CUS-CFV3CG7,Zayan Swaminathan,SAVINGS,ACTIVE,2022-08-13,VERIFIED,LOW,INDIA,18,281407.94,INDB0223365,Prison officer,1800975,MASS_AFFLUENT,2026-08-29
